Algoritmo;Threads;Input_Expressao;Repeticao;Tempo;Expressao_Encontrada;Literais;Clock_Time;Service_Time;Wait_Time
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));12;0,017279;W*(Z+!X+Y)*(X+(!Z*!Y));7;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));13;0,015273;W*(Z+!X+Y)*(X+(!Z*!Y));7;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));14;0,015053;W*(Z+!X+Y)*(X+(!Z*!Y));7;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));15;0,017200;W*(Z+!X+Y)*(X+(!Z*!Y));7;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));16;0,015357;W*(Z+!X+Y)*(X+(!Z*!Y));7;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));17;0,015526;W*(Z+!X+Y)*(X+(!Z*!Y));7;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));18;0,014425;W*(Z+!X+Y)*(X+(!Z*!Y));7;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));19;0,014569;W*(Z+!X+Y)*(X+(!Z*!Y));7;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));20;0,016160;W*(Z+!X+Y)*(X+(!Z*!Y));7;0;0;0
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));1;0,031385;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,034616;0,015282;0,006658
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));2;0,029434;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,032704;0,013864;0,006787
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));3;0,029962;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,033148;0,014250;0,006711
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));4;0,030300;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,033450;0,014509;0,006808
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));5;0,029409;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,032648;0,013879;0,006655
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));6;0,029725;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,032984;0,014289;0,006644
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));7;0,031510;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,034934;0,014821;0,007303
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));8;0,029519;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,032696;0,014026;0,006574
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));9;0,033262;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,036937;0,016798;0,006746
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));10;0,030575;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,033828;0,015021;0,006634
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));11;0,035358;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,039207;0,017422;0,007644
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));12;0,031492;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,034882;0,015009;0,007263
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));13;0,029931;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,033229;0,014169;0,006675
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));14;0,030456;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,033675;0,014393;0,007059
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));15;0,029699;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,032823;0,014035;0,006639
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));16;0,030301;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,033667;0,014482;0,006767
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));17;0,031222;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,034601;0,014537;0,007177
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));18;0,030418;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,033751;0,014554;0,006703
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));19;0,029657;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,032893;0,014136;0,006744
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * w));20;0,035380;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,039136;0,018314;0,007043
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));1;0,032613;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,069107;0,018945;0,030052
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));2;0,030745;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,065919;0,017494;0,028279
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));3;0,031362;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,067926;0,017585;0,028453
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));4;0,031184;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,066907;0,017661;0,028600
Paralelo;2;((z * x * w) + (y * x * w) + (!z * !y * !x * w));5;0,032108;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,067492;0,018245;0,029529
