Algoritmo;Threads;Input_Expressao;Repeticao;Tempo;Expressao_Encontrada;Literais
Sequencial;1;((z * y * x * w));8;0,000045;Z*Y*X*W;4
Sequencial;1;((z * y * x * w));9;0,000054;Z*Y*X*W;4
Sequencial;1;((z * y * x * w));10;0,000043;Z*Y*X*W;4
Sequencial;1;((z * y * x * w));11;0,000045;Z*Y*X*W;4
Sequencial;1;((z * y * x * w));12;0,000047;Z*Y*X*W;4
Sequencial;1;((z * y * x * w));13;0,000047;Z*Y*X*W;4
Sequencial;1;((z * y * x * w));14;0,000044;Z*Y*X*W;4
Sequencial;1;((z * y * x * w));15;0,000040;Z*Y*X*W;4
Sequencial;1;((z * y * x * w));16;0,000044;Z*Y*X*W;4
Sequencial;1;((z * y * x * w));17;0,000045;Z*Y*X*W;4
Sequencial;1;((z * y * x * w));18;0,000041;Z*Y*X*W;4
Sequencial;1;((z * y * x * w));19;0,000045;Z*Y*X*W;4
Sequencial;1;((z * y * x * w));20;0,000047;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));1;0,000071;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));2;0,000071;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));3;0,000074;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));4;0,000090;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));5;0,000071;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));6;0,000070;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));7;0,000080;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));8;0,000086;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));9;0,000066;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));10;0,000065;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));11;0,000070;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));12;0,000069;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));13;0,000072;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));14;0,000066;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));15;0,000070;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));16;0,000070;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));17;0,000240;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));18;0,000068;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));19;0,000077;Z*Y*X*W;4
Paralelo;1;((z * y * x * w));20;0,000067;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));1;0,000072;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));2;0,000073;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));3;0,000075;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));4;0,000065;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));5;0,000069;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));6;0,000109;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));7;0,000072;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));8;0,000097;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));9;0,000081;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));10;0,000074;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));11;0,000081;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));12;0,000066;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));13;0,000093;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));14;0,000074;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));15;0,000076;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));16;0,000075;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));17;0,000077;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));18;0,000068;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));19;0,000067;Z*Y*X*W;4
Paralelo;2;((z * y * x * w));20;0,000079;Z*Y*X*W;4
Paralelo;4;((z * y * x * w));1;0,000073;Z*Y*X*W;4
Paralelo;4;((z * y * x * w));2;0,000120;Z*Y*X*W;4
Paralelo;4;((z * y * x * w));3;0,000069;Z*Y*X*W;4
Paralelo;4;((z * y * x * w));4;0,000121;Z*Y*X*W;4
Paralelo;4;((z * y * x * w));5;0,000071;Z*Y*X*W;4
Paralelo;4;((z * y * x * w));6;0,000078;Z*Y*X*W;4
Paralelo;4;((z * y * x * w));7;0,000067;Z*Y*X*W;4
Paralelo;4;((z * y * x * w));8;0,000070;Z*Y*X*W;4
Paralelo;4;((z * y * x * w));9;0,000070;Z*Y*X*W;4
